year,month,date,0,1,2,3,4,5,6,7,8,9,a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y
2016,10,1,137,45,0,0,142,293,151,148,108,132,300,243,145,269,167,322,177,935,750,111,135,251,206,30,414,763,690,87,17,57,1670,1505,55,59,103
2016,10,10,213,4,0,0,235,402,148,222,203,61,221,212,139,310,153,289,168,597,423,62,178,514,264,51,0,257,482,11,375,36,1126,794,25,62,32
2016,10,11,183,1,0,0,150,170,72,153,94,9,271,153,100,400,82,176,115,1212,209,61,120,724,230,21,0,236,636,17,438,54,1535,939,39,110,22
2016,10,12,175,1,0,0,142,206,115,135,83,70,297,215,131,319,103,214,131,505,303,6,116,1336,245,25,0,274,554,31,453,48,1713,937,86,31,37
2016,10,13,205,4,0,0,132,135,40,141,78,41,214,244,108,293,86,153,100,336,174,63,130,1147,208,33,0,294,511,19,426,35,1545,1007,54,51,14
2016,10,14,285,12,0,0,183,251,139,243,155,31,337,186,116,254,166,180,122,141,468,110,122,803,193,28,0,398,620,63,623,45,1658,1105,43,56,73
2016,10,15,385,2,0,0,297,315,180,316,271,47,353,340,258,398,204,364,126,271,574,20,259,667,306,49,0,429,705,92,619,79,1527,1024,83,48,65
2016,10,16,333,9,0,0,281,407,203,297,221,56,589,251,223,559,229,324,0,292,403,38,220,676,275,93,0,406,627,29,339,388,1268,955,44,439,55
2016,10,17,217,3,0,0,116,259,74,136,89,54,191,127,100,254,76,172,0,358,212,21,142,729,159,24,0,277,497,16,274,34,1559,764,49,56,26
2016,10,18,183,4,0,0,165,314,101,140,102,45,193,154,110,128,105,292,0,443,302,16,122,1069,197,29,0,327,575,28,293,32,1502,979,66,35,36
2016,10,19,144,0,0,0,162,291,57,136,96,41,249,142,129,151,108,307,0,170,247,20,98,1255,204,56,0,387,657,22,281,42,1753,1216,46,52,42
2016,10,2,251,9,0,0,205,383,125,284,221,92,238,167,126,211,196,342,191,78,500,112,249,170,283,50,393,563,670,114,13,51,1248,1271,69,135,99
2016,10,20,137,0,0,0,162,279,92,151,144,25,276,179,91,263,135,274,0,378,195,19,140,405,246,36,0,361,640,14,356,61,1759,1336,32,35,37
2016,10,21,151,0,0,16,185,372,116,165,97,35,328,284,109,183,212,227,0,1050,519,33,142,552,227,35,103,870,720,34,394,46,1662,1188,73,97,17
2016,10,22,243,5,0,27,149,255,322,162,137,45,306,300,161,205,154,204,0,579,454,29,120,900,197,29,245,848,665,74,329,24,1216,754,81,30,42
2016,10,23,272,26,0,30,284,361,220,296,219,100,219,245,161,246,229,263,0,307,564,325,181,282,373,43,338,698,625,18,262,248,1095,702,46,213,14
2016,10,24,197,2,0,20,124,170,74,130,103,60,255,170,86,116,89,151,0,363,347,197,148,120,155,30,241,508,480,42,252,63,1501,667,28,220,45
2016,10,25,217,0,0,7,46,206,55,113,77,23,262,217,104,246,125,155,0,245,326,91,91,143,185,19,234,629,503,15,249,57,1375,766,28,71,45
2016,10,26,218,0,0,22,1,256,120,168,110,39,267,280,152,199,144,163,0,133,309,64,134,200,194,37,250,674,479,35,315,25,1374,706,88,65,57
2016,10,27,219,5,0,9,0,193,88,202,107,74,286,304,148,173,173,206,0,107,236,37,147,1284,260,26,253,637,519,33,324,40,1411,799,33,98,23
2016,10,28,300,6,0,30,0,243,218,161,111,26,303,452,131,295,163,169,0,587,356,12,99,478,198,20,252,619,688,29,341,58,1482,771,107,285,53
2016,10,29,312,13,0,29,9,376,179,319,204,32,537,337,198,322,244,250,0,697,441,17,202,311,304,83,313,615,610,36,303,205,1164,913,136,233,86
2016,10,3,269,13,0,0,111,190,26,101,75,22,201,120,87,241,85,217,117,242,691,67,80,242,151,13,264,483,600,35,3,34,1540,1156,82,41,13
2016,10,30,343,17,0,21,0,366,155,309,177,42,257,421,202,287,217,363,0,211,368,109,217,229,302,39,347,572,610,17,373,33,1221,778,129,53,26
2016,10,31,241,2,0,15,0,230,49,136,93,19,186,209,93,128,63,134,0,143,368,12,39,672,175,34,215,448,492,21,234,64,1385,790,7,52,16
2016,10,4,228,6,0,0,114,150,39,106,97,34,218,147,100,283,117,205,136,85,1097,156,135,689,145,22,0,613,541,34,2,76,1583,1207,36,82,31
2016,10,5,229,6,0,0,106,142,50,109,61,28,248,116,195,335,104,263,70,139,221,121,121,2133,135,22,0,361,513,18,25,34,1678,1025,49,43,9
2016,10,6,265,6,0,0,127,206,214,142,115,51,222,147,259,293,135,178,181,204,158,33,133,1209,252,39,0,232,571,14,44,93,1526,1049,52,47,38
2016,10,7,270,3,0,0,190,181,106,145,103,55,277,231,121,326,118,155,145,263,157,13,101,290,228,36,0,234,553,16,461,53,1783,1078,28,82,35
2016,10,8,341,3,0,0,179,360,143,260,198,55,359,213,166,333,111,203,189,273,641,350,216,328,241,58,0,303,581,22,590,96,1535,1124,100,75,82
2016,10,9,277,9,0,0,235,352,116,298,193,109,359,216,183,382,173,322,263,120,759,91,251,189,240,52,0,271,589,98,581,153,1340,907,92,93,189
2016,11,1,291,7,0,14,0,278,94,128,91,26,249,209,117,234,123,188,0,132,285,272,27,500,171,32,209,539,456,13,232,28,1345,688,43,67,31
2016,11,10,262,9,0,18,0,207,239,110,92,42,257,250,142,210,80,163,0,483,554,192,26,768,124,35,198,442,467,44,1,21,1435,502,62,54,21
2016,11,11,319,3,0,17,0,197,118,144,120,68,288,361,131,174,128,191,0,489,1661,8,107,727,142,31,249,569,449,25,7,25,1628,583,59,61,37
2016,11,12,455,7,0,19,0,410,332,242,182,33,310,402,195,292,211,210,0,328,672,118,87,877,223,26,312,719,547,50,1,80,1328,610,92,421,36
2016,11,13,355,37,0,16,0,327,131,194,153,34,247,170,142,160,200,217,0,330,615,26,31,577,203,34,320,484,460,27,17,56,1397,586,83,165,86
2016,11,14,238,6,0,12,1,232,62,138,90,34,201,0,63,75,45,117,0,282,751,27,38,1436,125,26,246,407,351,7,0,25,1531,641,64,56,13
2016,11,15,383,5,13,25,0,91,72,171,102,42,272,0,143,198,135,199,0,317,374,27,43,1371,161,28,206,500,412,28,3,40,1557,747,66,22,19
2016,11,16,397,12,27,22,0,2,74,156,105,29,244,0,105,213,81,190,0,328,235,46,56,883,137,33,209,556,407,39,9,38,1493,717,46,33,18
